Location,Time,PopTotal
Afghanistan,2019,38041.757000000005
Africa,2019,1308064.176
African Group,2019,1306320.572
African Union,2019,1306903.03
African Union: Central Africa,2019,154013.705
African Union: Eastern Africa,2019,382531.219
African Union: Northern Africa,2019,203493.22600000002
African Union: Southern Africa,2019,179956.492
African Union: Western Africa,2019,386908.388
"African, Caribbean and Pacific (ACP) Group of States",2019,1150190.575
Albania,2019,2880.913
Algeria,2019,43053.054000000004
American Samoa,2019,55.312
Andean Community,2019,111736.664
Andorra,2019,77.146
Angola,2019,31825.299
Anguilla,2019,14.872
Antigua and Barbuda,2019,97.115
Argentina,2019,44780.675
Armenia,2019,2957.728
Aruba,2019,106.31
Asia,2019,4601371.266
Asia-Pacific Economic Cooperation (APEC),2019,2956245.278
Asia-Pacific Group,2019,4582136.259
Association of Southeast Asian Nations (ASEAN),2019,660718.726
Australia,2019,25203.2
Australia/New Zealand,2019,29986.262000000002
Austria,2019,8955.108
Azerbaijan,2019,10047.719000000001
BRIC,2019,3157123.227
BRICS,2019,3215681.494
Bahamas,2019,389.486
Bahrain,2019,1641.164
Bangladesh,2019,163046.173
Barbados,2019,287.02099999999996
Belarus,2019,9452.409
Belgium,2019,11539.326000000001
Belize,2019,390.351
Belt-Road Initiative (BRI),2019,3353564.722
Belt-Road Initiative: Africa,2019,1164118.622
Belt-Road Initiative: Asia,2019,1552928.523
Belt-Road Initiative: Europe,2019,414572.416
Belt-Road Initiative: Latin America and the Caribbean,2019,206761.581
Belt-Road Initiative: Pacific,2019,15183.58
Benin,2019,11801.151000000002
Bermuda,2019,62.508
Bhutan,2019,763.0939999999999
Black Sea Economic Cooperation (BSEC),2019,342832.245
Bolivarian Alliance for the Americas (ALBA),2019,58535.065
Bolivia (Plurinational State of),2019,11513.101999999999
"Bonaire, Sint Eustatius and Saba",2019,25.983
Bosnia and Herzegovina,2019,3300.998
Botswana,2019,2303.703
Brazil,2019,211049.51899999997
British Virgin Islands,2019,30.033
Brunei Darussalam,2019,433.296
Bulgaria,2019,7000.116999999999
Burkina Faso,2019,20321.383
Burundi,2019,11530.577
Cabo Verde,2019,549.936
Cambodia,2019,16486.542
Cameroon,2019,25876.387000000002
Canada,2019,37411.038
Caribbean,2019,43335.005999999994
Caribbean Community and Common Market (CARICOM),2019,18669.459
Cayman Islands,2019,64.94800000000001
Central African Republic,2019,4745.179
Central America,2019,177586.525
Central Asia,2019,73212.11099999999
Central European Free Trade Agreement (CEFTA),2019,25839.142000000003
Central and Southern Asia,2019,1991423.507
Chad,2019,15946.882
Channel Islands,2019,172.264
Chile,2019,18952.035
China,2019,1433783.6919999998
China (and dependencies),2019,1465634.176
"China, Hong Kong SAR",2019,7436.156999999999
"China, Macao SAR",2019,640.446
"China, Taiwan Province of China",2019,23773.881
Colombia,2019,50339.443
Commonwealth of Independent States (CIS),2019,289579.128
Commonwealth of Nations,2019,2529752.075
Commonwealth: Africa,2019,569747.835
Commonwealth: Asia,2019,1805540.408
Commonwealth: Caribbean and Americas,2019,44231.064000000006
Commonwealth: Europe,2019,69169.11200000001
Commonwealth: Pacific,2019,41063.656
Comoros,2019,850.8910000000001
Congo,2019,5380.504
Cook Islands,2019,17.547
Costa Rica,2019,5047.561
Countries with Access to the Sea,2019,7130128.743
Countries with Access to the Sea: Africa,2019,975801.688
Countries with Access to the Sea: Asia,2019,4437345.52
Countries with Access to the Sea: Europe,2019,678689.328
