region_name,population
Alt Camp,44296
Alt Empordà,141339
Alt Penedès,108411
Alt Urgell,20177
Alta Ribagorça,3802
Anoia,120738
Bages,178885
Baix Camp,190973
Baix Ebre,77596
Baix Empordà,134359
Baix Llobregat,825963
Baix Penedès,104991
Barcelonès,2278437
Berguedà,39446
Cerdanya,18192
Conca de Barberà,20042
Garraf,150887
Garrigues,18833
Garrotxa,57590
Gironès,193908
Maresme,452690
Montsià,67436
Noguera,38770
Osona,160821
Pallars Jussà,13080
Pallars Sobirà,6932
Pla d'Urgell,36693
Pla de l'Estany,32293
Priorat,9245
Ribera d'Ebre,21865
Ripollès,25087
Segarra,23052
Segrià,209818
Selva,171617
Solsonès,13469
Tarragonès,256730
Terra Alta,11490
Urgell,36693
Aran,10093
Vallès Occidental,925237
Vallès Oriental,409638
Moianès,13603
total-catalunya,7675217
