region_name,population
total-china,1382710000
Guangdong,111690000
Shandong,100060000
Henan,95590000
Sichuan,83020000
Jiangsu,80290000
Hebei,75200000
Hunan,68600000
Anhui,62550000
Hubei,59020000
Zhejiang,56570000
Guangxi,48850000
Yunnan,48010000
Jiangxi,46220000
Liaoning,43690000
Fujian,39110000
Shaanxi,38350000
Heilongjiang,37890000
Shanxi,36820000
Guizhou,35550000
Chongqing,30750000
Jilin,27170000
Gansu,26260000
Inner Mongolia,25290000
Xinjiang,24450000
Shanghai,24180000
Beijing,21710000
Tianjin,15570000
Hainan,9170000
Hong Kong,7335384
Ningxia,6820000
Qinghai,5980000
Tibet,3370000
Macau,644900
