fecha,cod_ine,CCAA,total
2020-01-27,0,Global,65
2020-01-28,0,Global,79
2020-01-29,0,Global,119
2020-01-30,0,Global,138
2020-01-31,0,Global,222
2020-02-01,0,Global,277
2020-02-02,0,Global,436
2020-02-03,0,Global,527
2020-02-04,0,Global,726
2020-02-05,0,Global,1019
2020-02-06,0,Global,1376
2020-02-07,0,Global,1758
2020-02-08,0,Global,2393
2020-02-09,0,Global,2906
2020-02-10,0,Global,3575
2020-02-11,0,Global,4337
2020-02-12,0,Global,5116
2020-02-13,0,Global,6277
2020-02-14,0,Global,7162
2020-02-15,0,Global,8572
2020-02-16,0,Global,9870
2020-02-17,0,Global,11395
2020-02-18,0,Global,13109
2020-02-19,0,Global,15037
2020-02-20,0,Global,16875
2020-02-21,0,Global,18833
2020-02-22,0,Global,21226
2020-02-23,0,Global,23329
2020-02-24,0,Global,25180
2020-02-25,0,Global,27866
2020-02-26,0,Global,30364
2020-02-27,0,Global,33231
2020-02-28,0,Global,36561
2020-02-29,0,Global,39749
2020-03-01,0,Global,42702
2020-03-02,0,Global,45454
2020-03-03,0,Global,48324
2020-03-04,0,Global,51011
2020-03-05,0,Global,53457
2020-03-06,0,Global,55790
2020-03-07,0,Global,58215
2020-03-08,0,Global,60535
2020-03-09,0,Global,62234
2020-03-10,0,Global,64995
2020-03-11,0,Global,66922
2020-03-12,0,Global,68801
2020-03-13,0,Global,70817
2020-03-14,0,Global,72305
2020-03-15,0,Global,76060
2020-03-16,0,Global,78596
2020-03-17,0,Global,81593
2020-03-18,0,Global,84204
2020-03-19,0,Global,85774
2020-03-20,0,Global,89982
2020-03-21,0,Global,93276
2020-03-22,0,Global,96995
2020-03-23,0,Global,100063
2020-03-24,0,Global,106546
2020-03-25,0,Global,112445
2020-03-26,0,Global,114884
2020-03-27,0,Global,124608
2020-03-28,0,Global,139106
2020-03-29,0,Global,146294
2020-03-30,0,Global,155671
2020-03-31,0,Global,165090
2020-04-01,0,Global,182578
2020-04-02,0,Global,193573
2020-04-03,0,Global,206103
2020-04-04,0,Global,214229
2020-04-05,0,Global,238348
