fecha,cod_ine,CCAA,total
2020-01-22,0,Global,555
2020-01-23,0,Global,654
2020-01-24,0,Global,941
2020-01-25,0,Global,1434
2020-01-26,0,Global,2118
2020-01-27,0,Global,2927
2020-01-28,0,Global,5578
2020-01-29,0,Global,6166
2020-01-30,0,Global,8234
2020-01-31,0,Global,9927
2020-02-01,0,Global,12038
2020-02-02,0,Global,16787
2020-02-03,0,Global,19881
2020-02-04,0,Global,23892
2020-02-05,0,Global,27635
2020-02-06,0,Global,30794
2020-02-07,0,Global,34391
2020-02-08,0,Global,37120
2020-02-09,0,Global,40150
2020-02-10,0,Global,42762
2020-02-11,0,Global,44802
2020-02-12,0,Global,45221
2020-02-13,0,Global,60368
2020-02-14,0,Global,66885
2020-02-15,0,Global,69030
2020-02-16,0,Global,71224
2020-02-17,0,Global,73258
2020-02-18,0,Global,75136
2020-02-19,0,Global,75639
2020-02-20,0,Global,76197
2020-02-21,0,Global,76819
2020-02-22,0,Global,78572
2020-02-23,0,Global,78958
2020-02-24,0,Global,79561
2020-02-25,0,Global,80406
2020-02-26,0,Global,81388
2020-02-27,0,Global,82746
2020-02-28,0,Global,84112
2020-02-29,0,Global,86011
2020-03-01,0,Global,88369
2020-03-02,0,Global,90306
2020-03-03,0,Global,92840
2020-03-04,0,Global,95120
2020-03-05,0,Global,97886
2020-03-06,0,Global,101801
2020-03-07,0,Global,105847
2020-03-08,0,Global,109821
2020-03-09,0,Global,113590
2020-03-10,0,Global,118620
2020-03-11,0,Global,125875
2020-03-12,0,Global,133248
2020-03-13,0,Global,145205
2020-03-14,0,Global,156101
2020-03-15,0,Global,168629
2020-03-16,0,Global,181574
2020-03-17,0,Global,197102
2020-03-18,0,Global,214821
2020-03-19,0,Global,242570
2020-03-20,0,Global,272208
2020-03-21,0,Global,304507
2020-03-22,0,Global,336953
2020-03-23,0,Global,378235
2020-03-24,0,Global,418045
2020-03-25,0,Global,467653
2020-03-26,0,Global,529591
2020-03-27,0,Global,593291
2020-03-28,0,Global,660706
2020-03-29,0,Global,720140
2020-03-30,0,Global,782395
2020-03-31,0,Global,857487
2020-04-01,0,Global,932605
2020-04-02,0,Global,1013320
