fecha,cod_ine,CCAA,total
2020-01-22,0,Global,17
2020-01-23,0,Global,18
2020-01-24,0,Global,26
2020-01-25,0,Global,42
2020-01-26,0,Global,56
2020-01-27,0,Global,82
2020-01-28,0,Global,131
2020-01-29,0,Global,133
2020-01-30,0,Global,171
2020-01-31,0,Global,213
2020-02-01,0,Global,259
2020-02-02,0,Global,362
2020-02-03,0,Global,426
2020-02-04,0,Global,492
2020-02-05,0,Global,564
2020-02-06,0,Global,634
2020-02-07,0,Global,719
2020-02-08,0,Global,806
2020-02-09,0,Global,906
2020-02-10,0,Global,1013
2020-02-11,0,Global,1113
2020-02-12,0,Global,1118
2020-02-13,0,Global,1371
2020-02-14,0,Global,1523
2020-02-15,0,Global,1666
2020-02-16,0,Global,1770
2020-02-17,0,Global,1868
2020-02-18,0,Global,2007
2020-02-19,0,Global,2122
2020-02-20,0,Global,2247
2020-02-21,0,Global,2251
2020-02-22,0,Global,2458
2020-02-23,0,Global,2469
2020-02-24,0,Global,2629
2020-02-25,0,Global,2708
2020-02-26,0,Global,2770
2020-02-27,0,Global,2814
2020-02-28,0,Global,2872
2020-02-29,0,Global,2941
2020-03-01,0,Global,2996
2020-03-02,0,Global,3085
2020-03-03,0,Global,3160
2020-03-04,0,Global,3254
2020-03-05,0,Global,3348
2020-03-06,0,Global,3460
2020-03-07,0,Global,3558
2020-03-08,0,Global,3802
2020-03-09,0,Global,3988
2020-03-10,0,Global,4262
2020-03-11,0,Global,4615
2020-03-12,0,Global,4955
2020-03-13,0,Global,5404
2020-03-14,0,Global,5819
2020-03-15,0,Global,6490
2020-03-16,0,Global,7126
2020-03-17,0,Global,7905
2020-03-18,0,Global,8733
2020-03-19,0,Global,9867
2020-03-20,0,Global,11299
2020-03-21,0,Global,12973
2020-03-22,0,Global,14651
2020-03-23,0,Global,16505
2020-03-24,0,Global,18625
2020-03-25,0,Global,21181
2020-03-26,0,Global,23970
2020-03-27,0,Global,27198
2020-03-28,0,Global,30652
2020-03-29,0,Global,33925
2020-03-30,0,Global,37582
2020-03-31,0,Global,42107
2020-04-01,0,Global,46809
2020-04-02,0,Global,52983
