region_name,population
Andaman and Nicobar Islands,380581
Andhra Pradesh,49577103
Arunachal Pradesh,1383727
Assam,31205576
Bihar,104099452
Chandigarh,1055450
Chhattisgarh,25545198
Dadra and Nagar Haveli,585764
Delhi,16787941
Goa,1458545
Gujarat,60439692
Haryana,25351462
Himachal Pradesh,6864602
Jammu and Kashmir,12267032
Jharkhand,32988134
Karnataka,61095297
Kerala,33406061
Ladakh,274000
Lakshadweep,64473
Madhya Pradesh,72626809
Maharashtra,112374333
Manipur,2570390
Meghalaya,2966889
Mizoram,1097206
Nagaland,1978502
Odisha,41974219
Puducherry,1247953
Punjab,27743338
Rajasthan,68548437
Sikkim,610577
Tamil Nadu,72147030
Telangana,35003674
total-india,1210569573
Tripura,3673917
Uttar Pradesh,199812341
Uttarakhand,10086292
Dadra and Nagar Haveli and Daman and Diu,585764
West Bengal,91276115
