region_name,population
Aguascalientes,1023800
Baja California,2846500
Baja California Sur,763929
Campeche,720900
Chiapas,4329700
Chihuahua,3274700
Ciudad de México,8918653
Coahuila,2395100
Colima,581100
Durango,1449100
Estado de México,16187608
Guanajuato,4919000
Guerrero,3196100
Hidalgo,2330900
Jalisco,8256100
Michoacán,4066900
Morelos,1637400
Nayarit,942200
Nuevo León,5119504
Oaxaca,3651100
Puebla,5480200
Querétaro,1558500
Quintana Roo,1023500
San Luis Potosí,2370400
Sinaloa,2574300
Sonora,2262700
Tabasco,1994700
Tamaulipas,2927300
Tlaxcala,1034600
Veracruz,8112505
Yucatán,1714100
Zacatecas,1381900
total-mexico,123675325
